groupId,artifactId,mcrTags
org.apache.camel,camel-jasypt,"apache,camel"
nu.validator,jing,validation
org.forgerock.ce.openam,openam-datastore,persistence
org.geotools.jdbc,gt-jdbc-db2,"sql,jdbc,geo"
org.apache.yoko,yoko-spec-corba,apache
io.vertx,vertx-auth-shiro,"security,vertx,authentication,io"
com.google.zxing,core,"barcode,google"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.ixa-model-tagger-de-perceptron-autodict01-conll09,model
org.apache.camel.quarkus,camel-quarkus-headersmap,"apache,camel"
io.opentracing.contrib,opentracing-spring-cloud-hystrix-starter,"spring,cloud,io,tracing,starter"
org.apache.ftpserver,ftplet-api,"apache,api"
com.thinkbiganalytics.kylo,kylo-metadata-modeshape,metadata
io.quarkus,quarkus-openshift-deployment,"deployment,io"
jakarta.websocket,jakarta.websocket-api,"websocket,api"
io.nosqlbench,driver-jdbc,"sql,jdbc,driver,io"
org.xwiki.platform,xwiki-platform-captcha-jcaptcha-webjar,"captcha,web,platform"
org.jeasy,easy-rules-support,"support,rules"
org.apache.aries.async,org.apache.aries.async.api,"apache,api,asynchronous"
org.apache.geronimo.specs,geronimo-annotation_1.1_spec,"annotations,apache,specs"
io.github.majianzheng,jarboot-common,"github,io"
jetty,jetty-util,"webserver,server,jetty"
com.facebook.presto,presto-spark-common,"facebook,spark"
org.jsweet.candies,socket.io,"socket,io"
org.jboss.msc,jboss-msc,jboss
org.wildfly,wildfly-arquillian-container-embedded,"embedded,container"
org.apache.kylin,kylin-spark-classloader,"spark,apache"
org.apache.felix,org.apache.felix.webconsole.plugins.memoryusage,"plugin,apache,osgi"
org.neo4j.app,neo4j-server,"database,server,graph,neo4j"
org.glassfish.main.extras,glassfish-embedded-shell,"embedded,shell"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.opennlp-model-sentence-sv-maxent,model
org.wso2.carbon.registry,org.wso2.carbon.registry.properties.stub,"registry,stub"
org.odpi.egeria,asset-analysis-spring,"spring,analysis"
org.togglz,togglz-test-harness,testing
io.helidon.microprofile.config,helidon-microprofile-config,"config,io"
org.openhab.addons.bundles,org.openhab.binding.upnpcontrol,"binding,bundle"
org.apache.camel.quarkus,camel-quarkus-core-deployment,"deployment,apache,camel"
org.nuxeo.ecm.platform,nuxeo-agenda-core,platform
org.apache.tomee,openejb-multicast,"ejb,apache"
org.hyperledger.fabric-sdk-java,fabric-sdk-java,sdk
org.apache.camel,camel-java-joor-dsl,"apache,dsl,camel"
org.apache.dubbo,dubbo-spring-boot-starter,"spring,apache,starter"
io.quarkus,quarkus-hibernate-orm-deployment,"persistence,deployment,orm,hibernate,io"
org.ops4j.pax.web.samples,jsf-resourcehandler-resourcebundle,"jsf,web,example"
org.ocpsoft.logging,logging-adapter-jboss,"logging,jboss"
org.mule.tests,test-dependant-plugin,"plugin,testing"
org.wso2.carbon.analytics,org.wso2.carbon.analytics.datasource.commons,"data,analytics,datasource"
org.apache.tajo,tajo-catalog-server,"server,apache"
com.ontology2,centipede-parser,parser
org.apache.activemq,apollo-mqtt,"jms,queue,mqtt,apache"
io.quarkus,quarkus-narayana-lra,io
org.sonarsource.orchestrator,sonar-orchestrator-osgi,"sonar,osgi"
org.testcontainers,mariadb,"database,mysql"
org.kaazing,mina-integration-jmx,"network,socket,integration,jmx"
com.github.paulcwarren,spring-content-jpa,"github,persistence,spring,jpa"
io.quarkus,quarkus-jdbc-h2-deployment,"sql,deployment,jdbc,io"
com.github.Querz,NBT,github
org.mitre,openid-connect-client,"openid,client"
org.netbeans.api,org-openide-io,"ide,io,api,netbeans"
org.eolang,eo-parser,parser
com.netflix.netflix-commons,netflix-eventbus,"eventbus,messaging"
