repositoryName,mcrTags
kshoji/USB-MIDI-Driver,"[android,annotations,metadata,support]"
spring-projects/spring-amqp-samples,"[amqp,aop,apache,api,aspect,bridge,client,forms,framework,javax,jsp,junit,logging,message,mvc,queue,servlet,slf4j,specs,spring,standard,support,taglib,testing,transaction,web,xml]"
microsoft/Git-Credential-Manager-for-Mac-and-Linux,"[api,authentication,binding,codehaus,github,groovy,http,javax,junit,jvm,language,mock,mocking,oauth,proxy,security,specs,standard,storage,testing,xml]"
nacos-group/nacos-sync,"[apache,api,asynchronous,client,code,codegen,commons,coordination,distributed,framework,generator,google,http,io,mock,mocking,swagger,testing,ui,zookeeper]"
alibaba/DataX,"[apache,api,base64,beans,bigdata,cache,cassandra,cli,client,cloud,cluster,code,codec,codegen,codehaus,collections,command,command-line,commons,compression,computing,config,connector,coordination,csv,database,date,distributed,driver,elasticsearch,encoding,encryption,engine,execution,external,facebook,file-system,fluent,ftp,generator,github,google,graph,groovy,hadoop,hbase,http,io,jdbc,json,junit,jvm,language,logging,managment,mapreduce,matching,math,memcached,mock,mocking,module,mongodb,mysql,network,nosql,parallel,parser,postgresql,process,protocol,query,reflection,sdk,search,serialization,service,slf4j,spring,sql,ssh,storage,structures,tabular,testing,testng,time,yarn,zookeeper]"
vlingo/xoom-actors,"[api,io,junit,logging,mock,mocking,sdk,slf4j,testing]"
mjuhasz/BDSup2Sub,"[cli,command-line,image,junit,parser,swing,testing,ui]"
apache/tomcat80,"[ant,apache,api,base64,build,bytecode,codec,compression,database,embedded,encoding,javax,junit,server,servlet,specs,sql,standard,testing,tomcat,tools,tree,webserver]"
f-lab-edu/food-delivery,"[admin,apache,commons,google,jdbc,logging,persistence,spring,sql,starter]"
semanticvectors/semanticvectors,"[analyzer,apache,codec,example,full-text,html,index,indexing,junit,lucene,match,matrix,parser,search,testing,vector]"
rometools/rome,"[api,assertion,code,codegen,generator,github,junit,library,logging,matching,mocking,module,quality,slf4j,testing,xml]"
androidannotations/androidannotations,"[android,api,codehaus,dependency-injection,google,json,junit,mapping,mock,mocking,orm,platform,reflection,relational,rest,spring,support,template,testing,xml]"
seleniumkit/gridrouter,"[annotations,apache,api,base64,binding,bridge,client,codec,commons,config,eclipse,encoding,framework,http,io,jetty,json,junit,logging,matching,metadata,mock,mocking,proxy,security,selenium,server,servlet,slf4j,spring,testing,web,webserver,xml]"
uber/tchannel-java,"[analysis,annotations,apache,api,benchmark,cli,command-line,defect,distributed,generator,github,google,io,json,junit,logging,metadata,mock,mocking,parser,performance,protocol,rules,serialization,slf4j,system,testing,thrift,tracing]"
apache/curator,"[annotation,apache,api,asynchronous,binding,bridge,client,codec,commons,compression,config,coordination,discovery,distributed,engine,facebook,framework,google,io,javax,jaxrs,jboss,jetty,json,junit,logging,management,math,metrics,mock,mocking,monitoring,performance,rest,server,service,servlet,slf4j,specs,standard,testing,web,webserver,webservice,xml,yaml,zookeeper]"
orientechnologies/orientdb,"[analyzer,apache,api,assertion,benchmark,binding,bytecode,client,codec,codehaus,collections,commons,compression,container,csv,database,distributed,eclipse,fluent,full-text,generator,github,google,graph,groovy,hazelcast,hibernate,http,i18n,ibm,index,indexing,io,javax,jdbc,jpa,json,junit,jvm,kubernetes,language,logging,lucene,memory,mock,mocking,nosql,orientdb,performance,persistence,posix,quality,query,reflection,runtime,server,servlet,slf4j,spatial,specs,sql,standard,structures,tabular,testing,testng,text,tools,xml]"
