dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
commons-io:commons-io,commons-net:commons-net,88,1059,129,0.08,0.68,0.68
commons-io:commons-io,org.eclipse.jetty:jetty-util,87,1059,113,0.08,0.77,0.77
io.netty:netty-all,org.slf4j:jcl-over-slf4j,38,230,312,0.17,0.12,0.17
org.javassist:javassist,org.springframework:spring-test,48,229,341,0.21,0.14,0.21
cglib:cglib,org.slf4j:slf4j-simple,15,135,386,0.11,0.04,0.11
org.mongodb:mongo-java-driver,org.powermock:powermock-module-junit4,23,119,205,0.19,0.11,0.19
org.elasticsearch:elasticsearch,org.javassist:javassist,24,125,229,0.19,0.1,0.19
com.alibaba:fastjson,com.google.protobuf:protobuf-java,43,338,270,0.13,0.16,0.16
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.powermock:powermock-api-mockito2,11,125,105,0.09,0.1,0.1
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,redis.clients:jedis,12,125,184,0.1,0.07,0.1
commons-net:commons-net,org.apache.logging.log4j:log4j-core,38,129,397,0.29,0.1,0.29
commons-net:commons-net,org.apache.hadoop:hadoop-common,25,129,143,0.19,0.17,0.19
javax.annotation:javax.annotation-api,org.apache.logging.log4j:log4j-core,60,244,397,0.25,0.15,0.25
org.codehaus.jackson:jackson-mapper-asl,org.ow2.asm:asm,13,155,183,0.08,0.07,0.08
javax.mail:mail,log4j:log4j,66,156,483,0.42,0.14,0.42
javax.mail:mail,org.apache.commons:commons-lang3,71,156,994,0.46,0.07,0.46
javax.mail:mail,org.apache.maven:maven-plugin-api,21,156,267,0.13,0.08,0.13
commons-dbcp:commons-dbcp,org.apache.poi:poi-ooxml,16,124,146,0.13,0.11,0.13
commons-dbcp:commons-dbcp,org.hamcrest:hamcrest-all,18,124,236,0.15,0.08,0.15
com.thoughtworks.xstream:xstream,org.projectlombok:lombok,12,127,435,0.09,0.03,0.09
com.thoughtworks.xstream:xstream,org.hibernate.validator:hibernate-validator,7,127,101,0.06,0.07,0.07
org.aspectj:aspectjweaver,org.junit.vintage:junit-vintage-engine,8,171,122,0.05,0.07,0.07
org.apache.zookeeper:zookeeper,org.aspectj:aspectjweaver,35,193,171,0.18,0.2,0.2
org.apache.curator:curator-framework,org.codehaus.jackson:jackson-mapper-asl,19,119,155,0.16,0.12,0.16
ch.qos.logback:logback-classic,org.codehaus.jackson:jackson-mapper-asl,37,701,155,0.05,0.24,0.24
ch.qos.logback:logback-classic,org.springframework:spring-orm,54,701,126,0.08,0.43,0.43
commons-configuration:commons-configuration,javax.servlet:servlet-api,29,149,265,0.19,0.11,0.19
org.hamcrest:hamcrest-all,org.junit.vintage:junit-vintage-engine,13,236,122,0.06,0.11,0.11
javax.servlet:jstl,org.apache.commons:commons-csv,7,124,134,0.06,0.05,0.06
com.jcraft:jsch,org.assertj:assertj-core,19,101,462,0.19,0.04,0.19
com.fasterxml.jackson.core:jackson-databind,org.mockito:mockito-all,128,850,367,0.15,0.35,0.35
org.apache.maven.plugin-tools:maven-plugin-annotations,org.mongodb:mongo-java-driver,14,233,119,0.06,0.12,0.12
javax.validation:validation-api,org.springframework:spring-webmvc,48,194,265,0.25,0.18,0.25
org.codehaus.plexus:plexus-utils,org.mongodb:mongo-java-driver,10,144,119,0.07,0.08,0.08
javax.inject:javax.inject,org.assertj:assertj-core,51,189,462,0.27,0.11,0.27
org.slf4j:slf4j-log4j12,org.springframework.boot:spring-boot-starter-test,23,521,130,0.04,0.18,0.18
org.hamcrest:hamcrest-core,org.springframework:spring-context,49,219,435,0.22,0.11,0.22
commons-beanutils:commons-beanutils,org.hibernate.validator:hibernate-validator,26,281,101,0.09,0.26,0.26
commons-beanutils:commons-beanutils,org.testng:testng,46,281,286,0.16,0.16,0.16
com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-mapper-asl,61,538,155,0.11,0.39,0.39
com.sun.xml.bind:jaxb-impl,org.springframework:spring-aop,35,162,180,0.22,0.19,0.22
com.google.protobuf:protobuf-java,org.freemarker:freemarker,22,270,153,0.08,0.14,0.14
com.google.inject:guice,io.springfox:springfox-swagger2,4,192,142,0.02,0.03,0.03
org.springframework:spring-jdbc,org.yaml:snakeyaml,34,220,274,0.15,0.12,0.15
com.googlecode.json-simple:json-simple,org.glassfish.jaxb:jaxb-runtime,11,157,147,0.07,0.07,0.07
com.googlecode.json-simple:json-simple,io.springfox:springfox-swagger2,5,157,142,0.03,0.04,0.04
org.apache.kafka:kafka-clients,org.ow2.asm:asm,21,162,183,0.13,0.11,0.13
jakarta.xml.bind:jakarta.xml.bind-api,org.apache.velocity:velocity,6,114,125,0.05,0.05,0.05
org.junit.jupiter:junit-jupiter-engine,org.projectlombok:lombok,57,344,435,0.17,0.13,0.17
mysql:mysql-connector-java,org.apache.commons:commons-math3,40,536,183,0.07,0.22,0.22
com.google.code.gson:gson,org.hibernate:hibernate-validator,47,674,150,0.07,0.31,0.31
io.dropwizard.metrics:metrics-core,org.openjdk.jmh:jmh-generator-annprocess,30,154,202,0.19,0.15,0.19
org.apache.maven:maven-plugin-api,org.springframework.boot:spring-boot-starter-test,8,267,130,0.03,0.06,0.06
org.apache.avro:avro,org.slf4j:slf4j-api,88,121,1420,0.73,0.06,0.73
org.apache.maven:maven-core,org.openjdk.jmh:jmh-generator-annprocess,19,192,202,0.1,0.09,0.1
org.bouncycastle:bcprov-jdk15on,org.slf4j:jcl-over-slf4j,43,198,312,0.22,0.14,0.22
javax.xml.bind:jaxb-api,org.springframework:spring-jdbc,42,305,220,0.14,0.19,0.19
org.projectlombok:lombok,org.springframework.boot:spring-boot-starter-test,51,435,130,0.12,0.39,0.39
